詞彙,漢語拼音,詞類
荒唐,huāngtáng ,(VS)
慌張,huāngzhāng ,(VS)
惶恐,huángkǒng ,(VS)
恍惚,huănghū ,(VS)
灰,huī ,(N)
灰塵,huīchén ,(N)
輝煌,huīhuáng ,(VS)
回合,huíhé ,(N)
回絕,huíjué ,(VA)
回升,huíshēng ,(VS)
回憶,huíyì,(N)
迴/回響,huíxiăng ,(N)
毀,huǐ ,(VA)
毀損,huǐsŭn ,(VA)
悔恨,huǐhèn ,(VS)
匯,huì ,(VA)
匯票,huìpiào ,(N)
會見,huìjiàn ,(VA)
會談,huìtán ,(VA)
會意,huìyì ,(VS)
繪畫,huìhuà ,(N)
賄賂,huìlù ,(VA)
彗星,huìxīng ,(N)
昏,hūn ,(VS)
渾身,húnshēn ,(N)
混,hùn ,(VS)
混淆,hùnyáo ,(VS)
混濁,hùnzhuó ,(VS)
活/活兒,huó/huór,(N)
活期,huóqí ,(VS)
火箭,huǒjiàn ,(N)
火力,huǒlì ,(N)
火焰,huǒyàn ,(N)
火藥,huǒyào ,(N)
伙伴,huǒbàn ,(N)
獲,huò ,(VS)
貨幣,huòbì ,(N)
貨品,huòpǐn ,(N)
豁達,huòdá ,(VS)
積,jī,(VS)
基層,jīcéng ,(N)
基地,jīdì ,(N)
基督,Jīdū,(N)
基因,jīyīn ,(N)
機動,jīdòng ,(VS)
機警,jījǐng ,(VS)
機率,jīlǜ,(N)
機密,jīmì ,(N)
機器人,jīqìrén ,(N)
機制,jīzhì ,(N)
肌膚,jīfū ,(N)
飢餓,jīè ,(VS)
畸形,jīxíng,(VS)
激增,jīzēng ,(VS)
及早,jízăo ,(Adv)
吉利,jílì ,(VS)
吉祥,jíxiáng ,(VS)
汲取,jíqŭ ,(VA)
即,jí ,(Adv)
即,jí ,(VA)
即日,jírì ,(N)
即時,jíshí ,(Adv)
嫉妒,jídù ,(VS)
極端,jíduān ,(N)
極端,jíduān ,(VS)
極力,jílì ,(Adv)
極為,jíwéi,(Adv)
集合,jíhé  ,(N)
集結,jíjié ,(VA)
集權,jíquán ,(VS)
集體,jítǐ ,(Adv)
集團,jítuán ,(N)
急救,jíjiù ,(VA)
急躁,jízào ,(VS)
急診,jízhěn ,(VA)
籍貫,jíguàn ,(N)
擊,jí ,(VA)
擊落,jíluò ,(VA)
計,jì ,(VA)
暨,jì ,(Conj)
繼承,jìchéng ,(VA)
季風,jìfēng ,(N)
劑量,jìliàng ,(N)
紀律,jìlǜ,(N)
技能,jìnéng ,(N)
技藝,jìyì ,(N)
祭祀,jìsì ,(VA)
傢伙(ㄏㄨㄛ˙),jiāhuo,(N)
家家戶戶,jiājiāhùhù ,(N)
家電,jiādiàn ,(N)
家屬,jiāshŭ ,(N)
佳節,jiājié ,(N)
佳人,jiārén ,(N)
加緊,jiājǐn ,(VA)
加快,jiākuài ,(VS)
加薪,jiāxīn ,(VA)
加以,jiāyǐ ,(Conj)
加重,jiāzhòng ,(VA)
枷鎖,jiāsuǒ ,(N)
夾雜,jiázá ,(VS)
假,jiǎ ,(Prep)
假若,jiăruò ,(Conj)
假使,jiăshǐ ,(Conj)
假象,jiăxiàng ,(N)
架,jià ,(VA)
架(子),jià(zi),(N)
架構,jiàgòu ,(N)
假期,jiàqí ,(N)
煎,jiān ,(VA)
監督,jiāndū ,(VA)
尖端,jiānduān ,(VS)
堅固,jiāngù ,(VS)
堅忍,jiānrěn ,(VS)
堅信,jiānxìn ,(VS)
堅硬,jiānyìng ,(VS)
兼職,jiānzhí ,(VA)
艱鉅,jiānjù ,(VS)
艱苦,jiānkŭ ,(VS)
艱難,jiānnán ,(VS)
簡便,jiănbiàn ,(VS)
簡稱,jiănchēng ,(VA)
簡化,jiănhuà ,(VS)
簡體,jiăntǐ,(N)
檢討,jiăntăo ,(VA)
漸,jiàn ,(Adv)
賤,jiàn ,(VS)
濺,jiàn ,(VA)
見解,jiànjiě ,(N)
見識,jiànshì ,(VA)
見證,jiànzhèng ,(VA)
建造,jiànzào ,(VA)
健身,jiànshēn ,(VA)
健身房,jiànshēnfáng ,(N)
健壯,jiànzhuàng ,(VS)
將,jiāng ,(Prep)
將軍,jiāngjūn ,(N)
獎勵,jiănglì ,(VA)
獎賞,jiăngshăng ,(N)
獎狀,jiăngzhuàng ,(N)
講理,jiănglǐ ,(VS)
講習,jiăngxí ,(N)
講義,jiăngyì ,(N)
講座,jiăngzuò ,(N)
交錯,jiāocuò ,(VS)
交貨,jiāohuò ,(VA)
交集,jiāojí ,(N)
交情,jiāoqíng ,(N)
交涉,jiāoshè ,(VA)
交談,jiāotán ,(VA)
焦急,jiāojí ,(VS)
腳本,jiăoběn ,(N)
攪和,jiǎohuo,(VA)
轎車,jiàochē ,(N)
叫好,jiàohăo ,(VS)
教官,jiàoguān ,(N)
教化,jiàohuà ,(VA)
教誨,jiàohuǐ ,(N)
教徒,jiàotú ,(N)
教學,jiàoxué,(N)
教員,jiàoyuán ,(N)
較量,jiàoliàng ,(VA)
皆,jiē ,(Adv)
階層,jiēcéng ,(N)
階級,jiējí ,(N)
街坊(ㄈㄤ˙),jiēfang,(N)
接管,jiēguăn ,(VA)
接連,jiēlián ,(Adv)
接納,jiēnà ,(VA)
接洽,jiēqià ,(VA)
接下來,jiēxiàlái,(Adv)
揭幕,jiēmù ,(VS)
揭曉,jiēxiăo ,(VA)
截,jié ,(M)
截,jié ,(VA)
潔白,jiébái ,(VS)
節儉,jiéjiăn ,(VS)
節慶,jiéqìng ,(N)
竭力,jiélì ,(Adv)
結實(ㄕ˙),jiéshi ,(VS)
結業,jiéyè ,(VS)
結緣,jiéyuán ,(VA)
捷運,jiéyùn,(N)
解答,jiědá ,(N)
解放,jiěfàng ,(VA)
解渴,jiěkě ,(VS)
解剖,jiěpǒu,(VA)
解說,jiěshuō ,(VA)
解體,jiětǐ ,(VA)
解脫,jiětuō ,(VA)
解約,jiěyuē ,(VA)
屆,jiè,(VS)
屆時,jièshí ,(Adv)
戒,jiè ,(VA)
戒備,jièbèi ,(VA)
借貸,jièdài ,(VA)
藉口,jièkǒu ,(N)
介入,jièrù ,(VA)
金錢,jīnqián  ,(N)
金魚,jīnyú ,(N)
津貼,jīntiē ,(N)
緊湊,jǐncòu ,(VS)
緊密,jǐnmì ,(VS)
緊縮,jǐnsuō ,(VA)
謹慎,jǐnshèn ,(VS)
近,jìn ,(Adv)
近,jìn,(Det)
勁/勁兒,jìn/jìnr,(N)
進場,jìnchăng,(VA)
進度,jìndù ,(N)
進而,jìnér ,(Conj)
進攻,jìngōng ,(VA)
進化,jìnhuà ,(VS)
進軍,jìnjūn ,(VA)
進修,jìnxiū ,(VA)
進展,jìnzhăn ,(VA)
晉級,jìnjí ,(VS)
盡量,jìnliàng,(Adv)
禁令,jìnlìng ,(N)
精,jīng ,(VS)
精光,jīngguāng ,(VS)
精華,jīnghuá ,(N)
精明,jīngmíng ,(VS)
精髓,jīngsuǐ ,(N)
精緻,jīngzhì ,(VS)
經典,jīngdiăn ,(N)
經濟,jīngjì ,(VS)
經書,jīngshū ,(N)
驚惶,jīnghuáng ,(VS)
驚奇,jīngqí ,(VS)
驚喜,jīngxǐ ,(VS)
驚險,jīngxiăn ,(VS)
鯨魚,jīngyú ,(N)
井,jǐng ,(N)
警報,jǐngbào ,(N)
警覺,jǐngjué ,(VS)
警惕,jǐngtì ,(VA)
警衛,jǐngwèi ,(N)
景觀,jǐngguān ,(N)
景氣,jǐngqì ,(N)
景物,jǐngwù ,(N)
景象,jǐngxiàng ,(N)
淨,jìng ,(Adv)
竟,jìng ,(Adv)
敬,jìng ,(VA)
敬佩,jìngpèi ,(VS)
境地,jìngdì ,(N)
靜脈,jìngmài,(N)
靜態,jìngtài,(N)
競賽,jìngsài ,(VA)
競選,jìngxuăn ,(VA)
競爭,jìngzhēng,(N)
揪,jiū ,(VA)
糾紛,jiūfēn ,(N)
酒店,jiŭdiàn ,(N)
酒館,jiŭguăn ,(N)
酒精,jiŭjīng ,(N)
就,jiù ,(VS)
就緒,jiùxù ,(VS)
救濟,jiùjì ,(VA)
救援,jiùyuán ,(VA)
居,jū ,(VA)
局部,júbù ,(Det)
局面,júmiàn ,(N)
沮喪,jŭsàng,(VS)
舉例,jŭlì ,(VA)
舉止,jŭzhǐ ,(N)
舉重,jŭzhòng ,(N)
巨人,jùrén ,(N)
拒,jù ,(VA)
距,jù ,(Prep)
據,jù ,(Prep)
據悉,jùxī ,(Conj)
聚餐,jùcān ,(VA)
俱全,jùquán ,(VS)
捐獻,juānxiàn ,(VA)
捐贈,juānzèng ,(VA)
決賽,juésài ,(N)
決議,juéyì ,(N)
抉擇,juézé ,(N)
絕大多數,juédàduōshù ,(Det)
絕跡,juéjī ,(VS)
均,jūn ,(Adv)
均衡,jūnhéng ,(VS)
均勻,jūnyún ,(VS)
軍備,jūnbèi ,(N)
軍閥,jūnfá ,(N)
軍官,jūnguān ,(N)
軍艦,jūnjiàn ,(N)
開辦,kāibàn ,(VA)
開導,kāidăo ,(VA)
開動,kāidòng ,(VA)
開發,kāifā,(N)
開飯,kāifàn ,(VA)
開放,kāifàng ,(VS)
開口,kāikǒu ,(VA)
開闊,kāikuò ,(VS)
開路,kāilù ,(VA)
開幕,kāimù ,(VS)
開盤,kāipán ,(VA)
開闢,kāipì ,(VA)
開啟,kāiqǐ ,(VA)
開頭/開頭兒,kāitóu/kāitóur,(N)
開銷,kāixiāo ,(N)
開業,kāiyè ,(VA)
開展,kāizhăn ,(VA)
開張,kāizhāng ,(VA)
刊物,kānwù,(N)
刊登,kāndēng ,(VA)
看守,kānshǒu ,(VA)
康復,kāngfù ,(VS)
慷慨,kāngkăi ,(VS)
扛,káng ,(VA)
抗爭,kàngzhēng ,(VA)
考場,kăochăng ,(N)
考古,kăogŭ ,(VA)
考量,kǎoliáng,(N)
考生,kăoshēng ,(N)
考驗,kăoyàn ,(VA)
烤肉,kǎoròu,(N)
靠,kào,(VS)
刻畫/劃,kēhuà ,(VA)
科幻,kēhuàn ,(VS)
苛責,kēzé ,(VA)
殼,ké ,(N)
可觀,kěguān ,(VS)
可見,kějiàn ,(Conj)
可望,kěwàng ,(VS)
可行,kěxíng ,(VS)
刻薄,kèbó ,(VS)
刻苦,kèkŭ ,(VS)
刻意,kèyì ,(Adv)
客機,kèjī ,(N)
課業,kèyè ,(N)
克制,kèzhì ,(VA)
吭聲,kēngshēng ,(VA)
空,kōng,(N)
空曠,kōngkuàng ,(VS)
空難,kōngnàn,(N)
空談,kōngtán ,(VA)
空運,kōngyùn ,(VA)
孔,kǒng ,(N)
恐嚇,kǒnghè ,(VA)
恐懼,kǒngjù ,(VS)
口,kŏu,(M)
口頭,kǒutóu ,(N)
口吻,kǒuwěn ,(N)
扣除,kòuchú ,(VA)
苦工,kŭgōng ,(N)
苦難,kŭnàn,(N)
苦惱,kŭnăo ,(VS)
苦衷,kŭzhōng ,(N)
庫存,kùcún ,(N)
誇,kuā ,(VA)
誇耀,kuāyào ,(VA)
跨越,kuàyuè ,(VA)
快活,kuàihuó ,(VS)
快速,kuàisù,(VS)
寬廣,kuānguăng ,(VS)
寬闊,kuānkuò ,(VS)
款,kuăn ,(M)
款待,kuăndài ,(VA)
款式,kuănshì ,(N)
狂風,kuángfēng ,(N)
狂妄,kuángwàng ,(VS)
礦產,kuàngchăn ,(N)
礦工,kuànggōng,(N)
虧,kuī ,(VS)
昆蟲,kūnchóng ,(N)
捆,kŭn ,(VA)
困,kùn ,(VA)
困境,kùnjìng ,(N)
困擾,kùnrăo ,(VS)
困擾,kùnrǎo,(N)
擴建,kuòjiàn ,(VA)
擴散,kuòsàn,(VS)
擴張,kuòzhāng ,(VS)
拉票,lāpiào ,(VA)
臘月,làyuè ,(N)
來賓,láibīn ,(N)
來得,láide ,(Adv)
來客,láikè ,(N)
欄,lán,(M)
攔,lán ,(VA)
懶惰,lănduò ,(VS)
懶散,lănsàn,(VS)
朗讀,lăngdú ,(VA)
朗誦,lăngsòng ,(VA)
浪費,làngfèi,(VA)
牢,láo ,(N)
勞改,láogăi ,(VS)
勞累,láolèi ,(VS)
老年,lăonián ,(N)
老人家,lăorénjiā ,(N)
老鼠,lăoshŭ ,(N)
老天爺,lăotiānyé ,(N)
老頭兒/老頭子,lăotóur/lăotóuzi ,(N)
老鄉,lăoxiāng ,(N)
老子,lăozi,(N)
雷,léi ,(N)
雷達,léidá ,(N)
雷同,léitóng ,(VS)
累積,lěijī,(VA)
類似,lèisì ,(VA)
類型,lèixíng ,(N)
冷凍,lěngdòng ,(VA)
冷汗,lěnghàn ,(N)
冷門,lěngmén ,(VS)
冷清,lěngqīng ,(VS)
勒索,lèsuǒ ,(VA)
哩,lī ,(P)
黎明,límíng ,(N)
罹難,línàn,(VS)
里程,lǐchéng ,(N)
理財,lǐcái ,(VA)
理論,lǐlùn ,(VA)
理所當然,lǐsuǒdāngrán,(VS)
理性,lǐxìng ,(VS)
理學,lǐxué ,(N)
理智,lǐzhì ,(VS)
禮服,lǐfú ,(N)
禮節,lǐjié ,(N)
禮貌,lǐmào ,(VS)
力求,lìqiú ,(VA)
力行,lìxíng ,(VA)
力學,lìxué ,(N)
立國,lìguó ,(VA)
立即,lìjí ,(VS)
立體,lìtǐ ,(VS)
利率,lìlǜ ,(N)
利弊,lìbì ,(N)
例,lì ,(N)
例,lì ,(Prep)
歷屆,lìjiè ,(N)
歷來,lìlái ,(N)
歷年,lìnián ,(N)
聯,lián ,(N)
聯,lián ,(VA)
聯盟,liánméng ,(N)
聯繫,liánxì ,(VA)
聯想,liánxiăng ,(VA)
連帶,liándài ,(VS)
連結,liánjié ,(VA)
連任,liánrèn ,(VA)
連線,liánxiàn ,(VA)
廉價,liánjià ,(VS)
廉潔,liánjié ,(VS)
臉龐,liănpáng ,(N)
臉譜,liănpŭ ,(N)
良機,liángjī ,(N)
兩極,liăngjí ,(N)
兩口子,liăngkǒuzi ,(N)
遼闊,liáokuò ,(VS)
列,liè ,(VA)
列車,lièchē ,(N)
列國,lièguó ,(N)
列入,lièrù ,(VS)
獵人,lièrén ,(N)
烈士,lièshì ,(N)
臨,lín ,(Adv)
臨,lín ,(Prep)
臨床,línchuáng ,(VS)
鄰里,línlǐ ,(N)
鈴,líng ,(N)
靈,líng ,(VS)
靈感,línggăn ,(N)
靈驗,língyàn ,(VS)
領隊,lǐngduì ,(N)
領會,lǐnghuì ,(VS)
領悟,lǐngwù ,(VS)
令,lìng ,(VA)
另,lìng ,(Adv)
溜冰,liūbīng ,(VA)
留,liú,(VA)
流程,liúchéng ,(N)
流傳,liúchuán ,(VS)
流落,liúluò ,(VA)
流氓,liúmáng ,(N)
流失,liúshī ,(VS)
流水,liúshuǐ,(N)
流通,liútōng ,(VA)
流星,liúxīng ,(N)
流域,liúyù ,(N)
柳樹,liŭshù ,(N)
籠子,lóngzi ,(N)
籠罩,lóngzhào ,(VS)
壟斷,lǒngduàn ,(VA)
樓房,lóufáng ,(N)
漏,lòu,(VS)
爐子,lúzi ,(N)
陸地,lùdì ,(N)
路過,lùguò ,(VA)
露天,lùtiān ,(N)
錄影,lùyǐng ,(VA)
錄影機,lùyǐngjī,(N)
輪廓,lúnkuò ,(N)
倫理,lúnlǐ ,(N)
淪陷,lúnxiàn ,(VS)
論,lùn ,(Prep)
論點,lùndiăn ,(N)
卵,luăn ,(N)
囉嗦(ㄙㄨㄛ˙),luōsuo,(VS)
鑼,luó ,(N)
邏輯,luójí ,(N)
落得,luòde ,(VS)
落魄,luòtuò,(VS)
落選,luòxuăn ,(VS)
駱駝(ㄊㄨㄛ˙),luòtuo,(N)
驢,lǘ,(N)
鋁,lǚ ,(N)
旅費,lǚfèi ,(N)
旅途,lǚtú ,(N)
旅行,lǚxíng,(N)
旅遊,lǚyóu,(N)
履歷,lǚlì,(N)
履行,lǚxíng ,(VA)
略,lüè ,(Adv)
麻醉, mázuì , (VA)
馬鈴薯, mălíngshŭ , (N)
埋伏, máifú , (VA)
買賣,măimài , (N)
買主, măizhŭ , (N)
邁, mài , (VA)
邁進, màijìn , (VA)
麥子, màizi , (N)
賣座, màizuò , (VS)
瞞, mán , (VA)
蠻橫, mánhèng  , (VS)
滿懷, mănhuái , (VS)
漫長, màncháng , (VS)
蔓延, mànyán , (VS)
盲從, mángcóng , (VS)
盲人, mángrén , (N)
芒果, mángguǒ , (N)
茫然, mángrán , (VS)
毛毯, máotăn , (N)
茂密, màomì , (VS)
冒險, màoxiăn , (VA)
枚, méi , (M)
眉毛, méimáo , (N)
眉頭, méitóu , (N)
媒體, méitǐ , (N)
每每, měiměi , (Adv)
美滿, měimăn , (VS)
美容院, měiróngyuàn , (N)
美食,měishí,(N)
美洲,měizhōu,(N)
悶, mēn , (VS)
悶熱, mēnrè , (VS)
門戶, ménhù , (N)
蒙, méng , (VS)
猛,měng , (Adv)
猛烈, měngliè, (VS)
夢見, mèngjiàn , (VA)
謎, mí , (N)
謎語, míyŭ , (N)
迷宮, mígōng , (N)
迷惑, míhuò , (VS)
迷戀, míliàn , (VS)
彌補, míbŭ , (VA)
密集, mìjí , (VS)
蜜, mì , (N)
鳴, míng , (VA)
明白, míngbái , (Adv)
明理, mínglǐ , (VS)
明日, míngrì , (N)
明智, míngzhì , (VS)
名額, míngé , (N)
名號, mínghào , (N)
名氣, míngqì , (N)
名勝, míngshèng , (N)
名聲, míngshēng , (N)
名堂, míngtáng , (N)
名下, míngxià , (N)
冥想, míngxiăng , (VA)
命名, mìngmíng , (VA)
命中, mìngzhòng, (VA)
綿延, miányán , (VS)
勉強,miănqiăng , (VA)
免稅, miănshuì , (VS)
免疫, miănyì , (VS)
面孔, miànkǒng , (N)
面談, miàntán , (VA)
描繪, miáohuì , (VA)
描述,miáoshù,(VA)
民俗, mínsú , (N)
民營, mínyíng , (VS)
敏感, mǐngăn , (VS)
敏捷, mǐnjié , (VS)
滅, miè , (VA)
模範, mófàn  , (N)
模具, mójù , (N)
模式, móshì , (N)
魔術, móshù , (N)
末, mò , (Det)
末, mò , (N)
末期, mòqí , (N)
墨, mò , (N)
沒落, mòluò , (VS)
沒收, mòshōu , (VA)
默默, mòmò , (Adv)
默契, mòqì , (N)
漠視, mòshì, (VS)
謀生, móushēng , (VA)
某些, mǒuxiē , (Det)
畝, mŭ , (M)
母語,mǔyǔ,(N)
木材, mùcái , (N)
木刻, mùkē , (N)
木料, mùliào , (N)
木偶, mùǒu , (N)
沐浴, mùyù , (VA)
目睹, mùdŭ , (VA)
目光, mùguāng , (N)
目擊, mùjí , (VA)
牧場, mùchăng , (N)
幕, mù , (N)
募集, mùjí , (VA)
拿,ná ,(Prep)
納悶,nàmèn ,(VS)
納入,nàrù ,(VS)
納稅,nàshuì ,(VA)
乃,năi ,(Adv)
耐,nài ,(VS)
耐力,nàilì ,(N)
男方,nánfāng ,(N)
南極洲,nánjízhōu,(N)
難度,nándù ,(N)
難關,nánguān ,(N)
難免,nánmiăn ,(VS)
難題,nántí ,(N)
難民,nànmín,(N)
囊括,nángguā ,(VA)
腦海,năohăi ,(N)
腦力,năolì ,(N)
內閣,nèigé ,(N)
內涵,nèihán ,(N)
內銷,nèixiāo ,(VA)
內在,nèizài,(N)
內戰,nèizhàn ,(N)
內政,nèizhèng ,(N)
能量,néngliàng ,(N)
擬,nǐ ,(VA)
擬定,nǐdìng ,(VA)
膩,nì ,(VS)
粘,nián ,(VS)
念頭,niàntou,(N)
娘,niáng ,(N)
娘家,niángjiā ,(N)
凝固,nínggù ,(VS)
凝結,níngjié ,(VA)
凝聚,níngjù ,(VA)
凝視,níngshì ,(VA)
扭轉,niŭzhuăn ,(VA)
農具,nóngjù ,(N)
農田,nóngtián ,(N)
農作物,nóngzuòwù ,(N)
弄錯,nòngcuò ,(VA)
奴隸,núlì ,(N)
努力,nǔlì,(N)
怒氣,nùqì ,(N)
暖,nuăn ,(VA)
挪,nuó ,(VA)
懦弱,nuòruò ,(VS)
諾言,nuòyán ,(N)
女方,nǚfāng ,(N)
虐待,nüèdài ,(VA)
歐洲,ōuzhōu,(N)
偶而/爾,ǒuér/ ěr ,(Adv)
趴,pā ,(VA)
拍馬屁,pāimăpì ,(VA)
拍攝,pāishè ,(VA)
拍照,pāizhào,(VA)
拍子,pāizi ,(N)
排除,páichú ,(VA)
排擠,páijǐ ,(VA)
排名,páimíng ,(VA)
派出所,pàichūsuǒ ,(N)
派對,pàiduì,(N)
派遣,pàiqiăn ,(VA)
派頭,pàitóu ,(N)
判,pàn,(VA)
盼,pàn ,(VS)
旁人,pángrén ,(N)
旁聽,pángtīng ,(VA)
拋,pāo ,(VA)
拋棄,pāoqì ,(VA)
跑道,păodào ,(N)
泡,pào ,(M)
泡沫,pàomò ,(N)
陪伴,péibàn,(VA)
培訓,péixùn ,(VA)
培育,péiyù ,(VA)
配,pèi ,(VA)
配,pèi ,(VS)
配給,pèijǐ,(VA)
配音,pèiyīn ,(VA)
噴漆,pēnqī ,(VA)
盆地,péndì ,(N)
蓬勃,péngbó ,(VS)
捧場,pěngchăng ,(VA)
匹,pī,(M)
批發,pīfā  ,(VA)
批准,pīzhŭn ,(VA)
疲憊,píbèi ,(VS)
匹,pǐ ,(M)
譬如,pìrú ,(Prep)
偏差,piānchā,(N)
便宜(一˙),piányi,(N)
便宜(一˙),piányi,(VS)
片,piàn ,(M)
片刻,piànkè ,(N)
票,piào ,(M)
拼,pīn ,(VA)
貧苦,pínkŭ ,(VS)
貧民,pínmín ,(N)
品味,pǐnwèi ,(N)
品種,pǐnzhǒng ,(N)
乒乓球/桌球,pīnpāngqiú/zhuōqiú,(N)
平凡,píngfán ,(VS)
平面,píngmiàn ,(N)
平穩,píngwěn ,(VS)
平行,píngxíng ,(VS)
評估,pínggū ,(VA)
評價,píngjià ,(N)
評論,pínglùn ,(VA)
潑,pō ,(VA)
婆家,pójiā ,(N)
破案,pòàn ,(VA)
破產,pòchăn ,(VS)
破除,pòchú ,(VA)
破獲,pòhuò ,(VA)
破例,pòlì ,(VS)
破碎,pòsuì ,(VS)
迫害,pòhài ,(VA)
魄力,pòlì ,(N)
樸素,púsù ,(VS)
曝光,pùguāng ,(VS)
暴露,pùlù ,(VS)
漆,qī ,(N)
淒涼,qīliáng ,(VS)
欺侮,qīwŭ ,(VA)
奇觀,qíguān ,(N)
奇蹟,qíjī ,(N)
奇妙,qímiào ,(VS)
奇異,qíyì ,(VS)
期待,qídài,(VS)
期貨,qíhuò ,(N)
期望,qíwàng ,(VS)
旗幟,qízhì ,(N)
乞丐,qǐgài ,(N)
啟,qǐ ,(VA)
啟發,qǐfā ,(VA)
啟示,qǐshì ,(N)
啟事,qǐshì ,(N)
起步,qǐbù ,(VA)
起伏,qǐfú ,(VA)
起碼,qǐmă ,(Adv)
起源,qǐyuán ,(N)
氣概,qìgài ,(N)
氣管,qìguăn ,(N)
氣派,qìpài ,(VS)
氣勢,qìshì ,(N)
氣體,qìtǐ ,(N)
氣壓,qìyā ,(N)
契機,qìjī ,(N)
棄權,qìquán ,(VA)
恰當,qiàdàng ,(VS)
恰好,qiàhăo ,(Adv)
恰恰,qiàqià ,(Adv)
洽商,qiàshāng ,(VA)
洽談,qiàtán ,(VA)
鉛,qiān ,(N)
牽連,qiānlián ,(VS)
簽署,qiānshù ,(VA)
千萬,qiānwàn,(Det)
謙遜,qiānxùn ,(VS)
前輩,qiánbèi ,(N)
前程,qiánchéng ,(N)
前後,qiánhòu ,(N)
前景,qiánjǐng ,(N)
前科,qiánkē ,(N)
前提,qiántí ,(N)
潛藏,qiáncáng ,(VA)
潛力,qiánlì ,(N)
虔誠,qiánchéng ,(VS)
淺薄,qiănbó ,(VS)
淺顯,qiănxiăn ,(VS)
腔調,qiāngdiào ,(N)
牆角,qiángjiăo ,(N)
強勁,qiángjìn ,(VS)
強求,qiángqiú ,(VA)
強權,qiángquán ,(N)
強壯,qiángzhuàng ,(VS)
瞧不起,qiáobùqǐ ,(VS)
橋樑,qiáoliáng ,(N)
巧合,qiăohé ,(VS)
俏,qiào ,(VS)
翹,qiào ,(VS)
峭壁,qiàobì ,(N)
蹺課,qiàokè ,(VA)
切磋,qiēcuō ,(VA)
且,qiě ,(Conj)
且,qiě ,(Adv)
切實,qièshí ,(VS)
竊賊,qièzéi ,(N)
親,qīn ,(VS)
親熱,qīnrè ,(VS)
親身,qīnshēn ,(Adv)
親生,qīnshēng ,(VS)
侵犯,qīnfàn ,(VA)
侵略,qīnlüè ,(VA)
侵蝕,qīnshí ,(VA)
侵襲,qīnxí ,(VA)
欽佩,qīnpèi ,(VS)
琴,qín ,(N)
勤奮,qínfèn ,(VS)
青春,qīngchūn ,(N)
青翠,qīngcuì ,(VS)
青蛙,qīngwā ,(N)
清澈,qīngchè ,(VS)
清潔,qīngjié ,(VS)
清靜,qīngjìng ,(VS)
清廉,qīnglián ,(VS)
清幽,qīngyōu ,(VS)
清掃,qīngsăo ,(VA)
傾向,qīngxiàng ,(N)
輕薄,qīngbó ,(VS)
輕蔑,qīngmiè ,(VS)
輕易,qīngyì ,(Adv)
情報,qíngbào ,(N)
情操,qíngcāo ,(N)
情婦,qíngfù ,(N)
情節,qíngjié ,(N)
情景,qíngjǐng ,(N)
情侶,qínglǚ ,(N)
情趣,qíngqù ,(N)
慶幸,qìngxìng ,(VS)
丘陵,qiūlíng ,(N)
求學,qiúxué ,(VA)
求助,qiúzhù ,(VA)
屈服,qūfú ,(VS)
趨勢,qūshì ,(N)
渠道,qúdào ,(N)
取材,qŭcái ,(VS)
取締,qŭdì ,(VA)
取樣,qŭyàng ,(N)
取悅,qŭyuè ,(VA)
趣味,qùwèi ,(N)
圈,quān ,(VA)
圈子,quānzi ,(N)
拳,quán ,(M)
全力,quánlì ,(Adv)
全盤,quánpán ,(Det)
權力,quánlì ,(N)
權威,quánwēi ,(N)
權益,quányì ,(N)
泉源,quányuán ,(N)
勸導,quàndăo ,(VA)
勸告,quàngào ,(N)
缺陷,quēxiàn ,(N)
確保,quèbăo ,(VA)
確切,quèqiè ,(VS)
確實,quèshí ,(Adv)
群島,qúndăo,(N)
群居,qúnjū ,(VS)
染料,rănliào ,(N)
嚷,răng ,(VA)
饒,ráo ,(VA)
熱潮,rècháo ,(N)
熱帶,rèdài ,(N)
熱量,rèliàng ,(N)
熱水瓶,rèshuǐpíng ,(N)
仁愛,rénài ,(N)
人次,réncì ,(N)
人道,réndào ,(N)
人禍,rénhuò ,(N)
人際,rénjì,(N)
人情,rénqíng ,(N)
人群,rénqún ,(N)
人士,rénshì ,(N)
人手,rénshǒu ,(N)
人選,rénxuăn ,(N)
人造,rénzào ,(VS)
忍痛,rěntòng ,(VS)
任,rèn ,(M)
任期,rènqí ,(N)
任意,rènyì ,(VS)
認錯,rèncuò ,(VA)
認定,rèndìng ,(VA)
日程,rìchéng ,(N)
日光燈,rìguāngdēng ,(N)
日益,rìyì ,(Adv)
容,róng ,(VA)
容量,róngliàng ,(N)
容納,róngnà ,(VS)
容器,róngqì ,(N)
容許,róngxŭ ,(VA)
溶,róng ,(VS)
溶化,rónghuà ,(VS)
融合,rónghé ,(VA)
融洽,róngqià,(VS)
榮譽,róngyù ,(N)
揉,róu ,(VA)
柔軟,róuruăn ,(VS)
肉麻,ròumá ,(VS)
肉體,ròutǐ ,(N)
如此,rúcĭ,(Adv)
儒家,rújiā ,(N)
入超,rùchāo,(VS)
入口,rùkǒu ,(VA)
入世,rùshì ,(VS)
軟弱,ruănruò ,(VS)
軟體,ruăntǐ ,(N)
若,ruò ,(Conj)
若干,ruògān ,(Det)
撒謊,sāhuăng ,(VA)
撒,să ,(VA)
灑,să ,(VA)
塞車,sāichē ,(VS)
賽,sài ,(VA)
散文,sănwén ,(N)
散布/佈,sànbù ,(VA)
喪事,sāngshì ,(N)
嗓子,săngzi ,(N)
